tag,post
academic,ability
cafeteria,cafeteria
hospital,weight loss
library,a play
academic,absence
cafeteria,restaurant
hospital,vomiting
library,access number
academic,account
cafeteria,lunch
hospital,vomit 
library,accumulation
academic,achievement
cafeteria,lunches
hospital,vitamin
library,acquisitions
academic,act 
cafeteria,diner
hospital,vision
library,archieve
academic,action
cafeteria,breakfast
hospital,virus
library,assemblage
academic,activity
cafeteria,café
hospital,vicodin 
library,atlas
academic,addition
cafeteria,lunchtime
hospital,veins
library,audio book
academic,adoption 
cafeteria,meal
hospital,vaccine 
library,author
academic,adult
cafeteria,fast food
hospital,ulcers
library,available
academic,advance
cafeteria,food
hospital,treatment
library,barcode
academic,advantage
cafeteria,coffee
hospital,toothache
library,bibliography
academic,advice
cafeteria,canteen
hospital,tooth
library,biography
academic,age
cafeteria,eat
hospital,throats
library,book
academic,aim
cafeteria,eating
hospital,throat
library,book case
academic,alternative
cafeteria,salad
hospital,swelling
library,book press
academic,amount
cafeteria,bar
hospital,surgery
library,booker
academic,analogy
cafeteria,food service
hospital,supplement
library,booklover
academic,analysis
cafeteria,trey
hospital,sunburn
library,bookseller
academic,application
cafeteria,dining
hospital,stuffy
library,bookshelf
academic,approach
cafeteria,cafeterias
hospital,stroke
library,bookshop
academic,argument
cafeteria,halls
hospital,stomach
library,bookstore
academic,aspect
cafeteria,canteens
hospital,spine
library,borrow
academic,assertion
cafeteria,kitchens
hospital,sneezing
library,call number
academic,assessment
cafeteria,kitchen
hospital,sneezed
library,cassettes
academic,assistance
cafeteria,barkery
hospital,sneeze
library,catalogue
academic,association
cafeteria,refreshment
hospital,sickness 
library,CD-ROM
academic,assumption
cafeteria,grocery
hospital,sicker
library,check out
academic,attempt
cafeteria,cooler
hospital,seasonal
library,circulation
academic,attention
hospital,runny
library,citation
academic,attitude
cafeteria,meals
hospital,ribs
library,citation style
cafeteria,menu
hospital,respiratory
library,cite
academic,awareness
cafeteria,chairs
hospital,remedy
library,collection
academic,balance
cafeteria,tables
hospital,relieve
library,compact disc
academic,basis
cafeteria,tea
hospital,rehab
library,databases
academic,behaviour
cafeteria,barbecue
hospital,recovering
library,datebook
academic,being
cafeteria,eating place
hospital,recovered
library,depository
academic,belief
cafeteria,eating house
hospital,recover 
library,depository library
academic,benefit
cafeteria,snacks
hospital,rash
library,descriptor
academic,bias
cafeteria,hambagers
hospital,pollen
library,dictionary
academic,birth
cafeteria,lunchbox
hospital,poisoning
library,discussion floor
academic,capacity
cafeteria,place
hospital,pimples
library,discussion floors
academic,case
hospital,pills 
library,discussion room
academic,category
cafeteria,crokery
hospital,pill
library,document
academic,cause
cafeteria,dishcafeterium
hospital,physical
library,due date
academic,centre
cafeteria,luncheonette
hospital,personal trainer
library,dvd
academic,challenge
cafeteria,foundationer
hospital,pains
library,e-book
academic,change
cafeteria,egg
hospital,painkillers 
library,educational
academic,character
cafeteria,eggs
hospital,pain 
library,encyclopedia
academic,characteristic
cafeteria,eggchop
hospital,nutritionist
library,entry
academic,choice
cafeteria,chips
hospital,nutrition food
library,ethernet cable
academic,circumstance
cafeteria,plateman
hospital,nutrition facts
library,faculty
academic,class
cafeteria,eat food with
hospital,nutrition
library,friction
academic,classification
cafeteria,restaurant table
hospital,nutrients
library,gallery
academic,code
hospital,nurse 
library,information
academic,colleague 
cafeteria,eat utensils
hospital,nose
library,information desk
academic,combination
cafeteria,eat off
hospital,needles 
library,internet
academic,commitment
cafeteria,serve food
hospital,neck
library,internet access
academic,committee
cafeteria,dine room
hospital,nausea 
library,ISBN
academic,communication
cafeteria,food holder
hospital,nasal 
library,ISSN
academic,community
cafeteria,ice cream
hospital,muscles 
library,journal
academic,comparison
cafeteria,yogurt
hospital,migrane
library,keyword
academic,complexity
cafeteria,fish 
hospital,medicine
library,learning management system
academic,compromise
cafeteria,fishes
hospital,medication
library,lending library
academic,concentration
cafeteria,beef 
hospital,medical insurance
library,librarian
academic,concept
cafeteria,water
hospital,medical care
library,librarians
academic,conception
cafeteria,order
hospital,massage 
library,libraries
academic,concern
cafeteria,coupon
hospital,lungs
academic,conclusion
cafeteria,coupons
hospital,lung 
library,library
academic,condition
cafeteria,ticket
hospital,lump
library,library assistant
academic,conduct
cafeteria,tickets
hospital,lose weight
library,library card
academic,conflict
cafeteria,salt
hospital,limping
library,library instruction
academic,consensus
cafeteria,rice
hospital,knee
library,library management
academic,consequence
cafeteria,soda
hospital,killing 
library,library toilets
academic,consideration
cafeteria,diet
hospital,kidney
library,loan period
academic,constraint
cafeteria,beverage
hospital,jaw 
library,magazine
academic,construction
cafeteria,beverages
hospital,itchy
library,manuscripts
academic,content
cafeteria,serve
hospital,itching 
library,media
academic,contradiction
cafeteria,cavier fraud
hospital,itch
library,membership
academic,contrast
cafeteria,honey
hospital,irritated
library,micro film
academic,contribution
cafeteria,milk
hospital,intense
library,micro forms
academic,control
cafeteria,olive oil
hospital,insurance 
library,must read
academic,convention
cafeteria,orange juice
hospital,inhaler 
library,newsbook
academic,correlation
cafeteria,juice
hospital,infections
library,newspaper
academic,country
cafeteria,wine
hospital,infection
library,no phone calls
academic,creation
cafeteria,bear
hospital,infected
library,non-fiction
academic,crisis
cafeteria,soup
hospital,illness
library,novel
academic,criterion
cafeteria,cake
hospital,ill
library,on order
academic,criticism
cafeteria,beer
hospital,hurts
library,online public access cataog
academic,culture
cafeteria,bread
hospital,hurting
library,OPAC
academic,damage
cafeteria,cheese
hospital,hungover 
library,overdue
academic,data
cafeteria,chefs
hospital,hospital
library,page number
academic,debate
cafeteria,french fries
hospital,hives 
library,password
academic,decision
cafeteria,recipe
hospital,hiccups 
library,periodical
academic,decline
cafeteria,cocktail
hospital,heartburn
library,plagiarism
academic,defence
cafeteria,desert
hospital,healthcare management
library,primary source
academic,definition
cafeteria,duck
hospital,health
library,publication
academic,degree
cafeteria,eater
hospital,healed
library,reader
academic,demand
cafeteria,eaters
hospital,heal
library,reading room
academic,description
cafeteria,cook
hospital,headache
library,rebook
academic,destruction
cafeteria,drink
hospital,gym
library,reference
academic,determination
cafeteria,quick lunch
hospital,glands 
library,reference books
academic,development
cafeteria,sorbet
hospital,germs 
library,referenced
academic,difference
hospital,gastric
library,renew
academic,difficulty
cafeteria,lambmain course
hospital,freezing
library,repository
academic,dilemma
cafeteria,vegetarian
hospital,forehead 
library,request
academic,dimension
hospital,food labels
library,resources
academic,disadvantage
cafeteria,pasta
hospital,fluids 
library,return 
academic,discovery
cafeteria,pork
hospital,fitness
library,return date
academic,discrimination
cafeteria,porridge
hospital,feverish 
library,schelves
academic,discussion
cafeteria,pubs
hospital,fever 
library,scholarly
academic,distinction
cafeteria,pumkin
hospital,feeling
library,search engines
academic,diversity
cafeteria,reluctant
hospital,fatigue
library,search option
academic,division
cafeteria,gary
hospital,faint
library,secondary sources
academic,doctrine
cafeteria,sandwitch
hospital,exhaustion 
library,silence
academic,effect
cafeteria,sandwitches
hospital,exhausted
library,source book
academic,effectiveness
cafeteria,sausages
hospital,exercise 
library,special collection
academic,element
cafeteria,seasonal food
hospital,emergency
library,stacks
academic,emphasis
cafeteria,shacks
hospital,elbow
library,story book
academic,environment
cafeteria,stew
hospital,ehealthinsurance
library,subject headings
academic,error
cafeteria,sprits
hospital,eaten
library,subscription
academic,essence
cafeteria,starter
hospital,earache 
library,tape
academic,establishment
cafeteria,cookbook
hospital,ear
library,thersaurces
academic,evaluation
hospital,drugged
library,thesis
academic,event
cafeteria,table talk
hospital,drowsy 
library,title
academic,evidence
cafeteria,vegan
hospital,drained
library,trace
academic,evolution
cafeteria,vegetable
hospital,dose 
library,updated
academic,examination
cafeteria,supper
hospital,doctors
library,URL
academic,example
cafeteria,whisky
hospital,doctor
library,video tape
academic,exception
cafeteria,wash hands
hospital,dizzy
academic,exclusion
cafeteria,beans
hospital,dizziness 
library,volume
academic,existence
cafeteria,takeaway
hospital,dietitian
library,weeding
academic,expansion
cafeteria,nuts free delivery
hospital,dieting 
library,bookshops
academic,experience
cafeteria,kebab
library,memberships
academic,experiment
cafeteria,caribbean
hospital,diarrhea
library,journals
academic,explanation
cafeteria,buffet
hospital,diagnosed
library,keywords
academic,exposure
cafeteria,crisps
hospital,diabetes 
library,informations
academic,extent
cafeteria,olives
hospital,depression
library,audio books
academic,extreme
cafeteria,cooking
hospital,dentist 
library,barcodes
academic,fact
cafeteria,babyleaf
hospital,dental 
library,books
academic,factor
cafeteria,fried chicken
hospital,dehydration
library,bookers
academic,failure
cafeteria,branded cups
hospital,dehydrated
library,booksellers
academic,feature
hospital,cured
library,booklovers
academic,female
cafeteria,handmade soup
hospital,cure 
library,bookshelves
academic,figure
cafeteria,butches block
hospital,crutches
academic,finding
cafeteria,chopping board
hospital,cramps
library,book cases
academic,force
cafeteria,food preparation
hospital,coughs
library,borrows
academic,form
cafeteria,milk shakes
hospital,coughing 
library,call numbers
academic,formation
cafeteria,gelato
hospital,coughed
library,cassette
academic,function
cafeteria,party
hospital,cough
library,catalogues
academic,future
cafeteria,organic coffee
hospital,contagious
library,circulations
academic,gain
cafeteria,health food
hospital,congestion
library,citations
academic,group
cafeteria,high protein
hospital,congested
library,citation styles
academic,growth
cafeteria,low fat
hospital,coma
library,collections
academic,guidance
cafeteria,tasty snacks
hospital,cold
library,compact discs
academic,guideline
cafeteria,smocked fish
hospital,clinic
library,database
academic,hypothesis
cafeteria,hot drinks
hospital,chronic
library,datebooks
academic,idea
cafeteria,cold drinks
hospital,chest
library,depositories
academic,identity
cafeteria,cup cakes
hospital,carbohydrates
library,descriptors
academic,impact
cafeteria,dairy
hospital,cancer
library,dictionaries
academic,implication
hospital,calories
library,discussion rooms
academic,importance
cafeteria,arabica coffee
hospital,calorie counter
library,documents
academic,improvement
cafeteria,ready made meal
hospital,caffeine
library,due dates
academic,increase
cafeteria,frozen meal
hospital,bypass
library,entries
academic,indication
cafeteria,spices
hospital,burning
library,ethernet cables
academic,individual
cafeteria,roasted meat
hospital,bruised 
library,faculties
academic,influence
cafeteria,fine food
hospital,bronchitis 
library,frictions
cafeteria,harogate
hospital,breathing 
library,galleries
academic,insight
cafeteria,cooked meat
hospital,body
library,information desks
academic,instance
cafeteria,food hampers
hospital,blisters
library,library cards
academic,institution
cafeteria,hungry
hospital,bladder
library,library instructions
academic,integration
cafeteria,agency chef
hospital,battling 
library,library toilet
academic,interaction
hospital,balanced diet
library,magazines
academic,interest
cafeteria,cooking oil
hospital,backache 
library,manuscript
academic,interpretation
cafeteria,self-service
hospital,asthma
library,memberdhips
academic,intervention
cafeteria,noodles
hospital,aspirin 
library,micro films
academic,introduction
cafeteria,recipes
hospital,appointment
library,micro form
academic,investigation
cafeteria,hot chilli
hospital,appetite
library,newsbooks
academic,isolation
cafeteria,hot sauces
hospital,anxious
library,newspapers
academic,issue
cafeteria,hot peper sauce
hospital,anxiety
library,no phone call
academic,kind
cafeteria,tea room
hospital,antibiotics 
library,novels
academic,knowledge
hospital,ankle
library,page  numbers
academic,lack
cafeteria,popcorn
hospital,allergy
library,passwords
academic,learning
cafeteria,kitchen knives
hospital,allergies 
library,primary sources
academic,level
cafeteria,menus
hospital,allergic
library,publications
academic,likelihood
cafeteria,food servers
hospital,aerobic
library,readers
academic,limit
cafeteria,bargers
hospital,achy 
library,reading rooms
academic,limitation
cafeteria,tomato sauce
hospital,aching
academic,link
cafeteria,platic plate
hospital,aches 
library,reference book
academic,list
cafeteria,apple juice
hospital,ache
library,requests
academic,literature
cafeteria,sea food
hospital, wrist 
library,resource
academic,logic
cafeteria,carry
hospital, woken
library,titles
academic,loss
cafeteria,yummy
hospital, vitamins
library,search options
academic,maintenance
cafeteria,lactose
hospital, unwell 
library,access numbers
academic,majority
cafeteria,canned food
hospital, uncomfortable
library,assemblages
academic,male
cafeteria,pig roast
hospital, unbearable
library,medias
academic,manipulation
hospital, ulcer
library,stack
academic,mankind
cafeteria,jam
hospital, tumor
library,computer labs
academic,material
cafeteria,york
hospital, torn
library,computer lab
academic,means
cafeteria,preserves
hospital, tissues
library,computer labaratories
academic,measure
cafeteria,delicizers
hospital, tiredness
library,show id
academic,medium
cafeteria,ingredirnts
hospital, thyroid
library,silence please
academic,member
cafeteria,vodka
hospital, tension 
library,shut up
academic,method
cafeteria,alcoholic drinks
hospital, symptoms
library,no foods
academic,minority
cafeteria,pie making
hospital, swollen
library,no drinks
academic,mode
cafeteria,allergies food
hospital, surgeon
library,library building
academic,model
cafeteria,herbs
hospital, sunscreen
library,prospectus
academic,motivation
cafeteria,order online
hospital, stomachache
library,bags
academic,movement
cafeteria,good food
hospital, stiff
library,computers
academic,need
cafeteria,vegeteranian food
hospital, sniffling
library,chamber
academic,network
cafeteria,barbecues
hospital, sniffles
academic,norm
cafeteria,seasoning
hospital, skull
library,library rules
academic,notion
cafeteria,bartender
hospital, sick
library,self reading
academic,number
cafeteria,bananas
hospital, shivering
library,self study
academic,observation
cafeteria,food tasting
hospital, severe
library,group discussion
academic,observer
cafeteria,food allergy
hospital, scratchy 
library,past papers
academic,occurrence
cafeteria,nuts and snacks
hospital, resting 
library,papers
academic,operation
cafeteria,vinegar
hospital, recovery
library,discuss
academic,opportunity
cafeteria,masala mix
hospital, prescription
library,library staff
academic,option
cafeteria,fresh fish
hospital, pneumonia 
library,reading place
academic,organisation
cafeteria,natural food
hospital, physically
library,keep quite
academic,outcome
hospital, panadol 
library,daily newspapers
academic,output
cafeteria,spoon
hospital, health insurance
library,operators
academic,parallel
cafeteria,drink machine
hospital,nhif
library,record
academic,parent
cafeteria,cola
hospital,nssf
library,truncation
academic,part
cafeteria,glass of water
hospital,paracetamol 
library,holdings
academic,participant
cafeteria,mug of tea
hospital,bacteria
library,field
academic,past
cafeteria,baked potato
hospital,runny nose
academic,procedure
cafeteria,savoury
hospital,sprain
library,interlibrary loan services
academic,process
cafeteria,set menu
hospital,bed rest
library,hold
academic,production
cafeteria,side dish
hospital,blood tests
library,circulation desk
academic,programme
cafeteria,waiter
library,borrow direct
academic,progress
cafeteria,wine list
library,barcode number
academic,property
cafeteria,liquor
hospital,exercise
academic,proportion
cafeteria,all you can eat
hospital,physical therapy
academic,proposition
cafeteria,appetizing
hospital,shot
academic,resolution
cafeteria,combo
hospital,lozenges
library,download
hospital,powder
library,full-text
academic,respect
cafeteria,comment card
hospital,eye drops
library,flashdrive
academic,restriction
cafeteria,complaint
hospital,effervescent tablet
library,google
academic,result
cafeteria,condiments
hospital,tablet
library,help desk
academic,review
cafeteria,corkscrew
hospital,toothpaste
library,hits
academic,shift
cafeteria,dishwasher
hospital,pipette
library,online
academic,significance
cafeteria,doggle bag
hospital,tooth brush
library,organize
academic,similarity
cafeteria,double
hospital,thermometer
academic,situation
cafeteria,draft
hospital,dental pick
library,paraphrase
academic,skill
cafeteria,dressing
hospital,saline bag
academic,target
cafeteria,host
hospital,pain-killer
academic,task
cafeteria,hostess
hospital,tranquilizer
library,scope
academic,team
cafeteria,kettle
hospital,prescription
library,search engine
academic,technique
cafeteria,lemon
hospital,syrup
library,slideshow
academic,tendency
cafeteria,lime wedge
hospital,dose
library,statistics
academic,tension
cafeteria,lineup
hospital,drugs
library,style manual
academic,view
cafeteria,regulars
hospital,breath
library,e-reserve
academic,viewpoint
cafeteria,reservation
hospital,breathe
library,elecronic reserve
cafeteria,restrooms
hospital,calcium
academic,whole
cafeteria,roll-up
hospital,cardiac
library,glossary
academic,work
cafeteria,rush
hospital,cereal
library,hardware
academic,world
cafeteria,schedule
hospital,collapse
library,icon
academic,term
cafeteria,to go
library,website
academic,theme
cafeteria,toppings
hospital,infirm
library,summit
academic,theory
cafeteria,waitress
hospital,influenza
academic,tolerance
cafeteria,waiting list
hospital,inherenintimacy
library,journal title
academic,topic
cafeteria,warm up
hospital,insulin
library,limiters
academic,tradition
cafeteria,well-done
hospital,joint 
library,multimedia
academic,transition
cafeteria,wine list winery
hospital,jog
library,online public access catalog
academic,trend
cafeteria,wine-tasting
hospital,psychology
library,paging
academic,type
hospital,puncture
library,peer reviwed journal
academic,uncertainty
cafeteria,self-serve
hospital,radiation
library,print card
academic,understanding
cafeteria,separate cheques
hospital,recovery
library,proxy server
academic,unit
cafeteria,set
hospital,regimen
library,remote access
academic,use
cafeteria,shooter
hospital,rehabilitation
library,secondary source
academic,validity
cafeteria,sour
hospital,relaxation
library,serial
academic,value
cafeteria,sous chef
hospital,safety
library,software
academic,variation
cafeteria,specials
hospital,sanitary
library,subject heading
academic,variety
cafeteria,speciality
hospital,scare
library,thumb drive
academic,version
cafeteria,spicy
hospital,senile
library,upload
academic,society
cafeteria,saty
hospital,skin
library,uniform resource allocator
academic,solution
cafeteria,stir
hospital,std
library,user id
academic,space
cafeteria,mix
hospital,stamina
library,virtual reference
academic,spread
cafeteria,straw
hospital,starve
library,wireless
academic,standard
cafeteria,substitute
hospital,starving
library,zip drive
cafeteria,sweet
hospital,stimulate
academic,stimulus
cafeteria,take out
hospital,symptom
academic,strategy
cafeteria,till
library,easy reader
academic,stress
cafeteria,liqueur
hospital,testing
library,return
academic,structure
cafeteria,manager
hospital,trainer
academic,subject
cafeteria,melt
hospital,transplant
library,questions
academic,success
cafeteria,mild
hospital,trauma
academic,summary
cafeteria,overcharge
library,annotation
academic,support
cafeteria,pack up
hospital,tremor
library,archive
academic,survey
hospital,ultrasound
library,articles
academic,system
cafeteria,patio
hospital,unhealthy
library,attachment
academic,pattern
cafeteria,paycheque
hospital,unusual
library,attribution
academic,percentage
cafeteria,pitcher
academic,perception
cafeteria,jug
hospital,violation
library,boolean searching
academic,period
cafeteria,portion
library,broad
academic,person
cafeteria,pour
library,browse
academic,personality
cafeteria,punch
hospital,work out
library,call nuymber
academic,perspective
cafeteria,clock
hospital,yoga
library,carrel
academic,phenomenon
cafeteria,punch in
hospital,zinc
library,check-in
academic,point
cafeteria,punch out
hospital,cure
library,check-out
academic,policy
cafeteria,rare
hospital,dating
academic,population
cafeteria,dry
hospital,deadly
library,copyright
academic,position
cafeteria,fine dining
hospital,dead
library,course reserve
academic,possibility
cafeteria,float
hospital,defect
library,digital
academic,potential
cafeteria,frr refills
academic,practice
cafeteria,fry
hospital,diagnostic
library,PDF
academic,presence
cafeteria,garnish
hospital,folic acid
library,peer-reviewed
academic,pressure
cafeteria,glassware
hospital,fracture
library,periodicals
academic,problem
cafeteria,gratuity
hospital,fragrant
library,phrase searching
academic,rise
cafeteria,greet
hospital,fragrance
academic,risk
cafeteria,grill
hospital,glandgymnasium
library,printer
academic,role
cafeteria,harnet
hospital,hiv
library,query
academic,rule
cafeteria,happy hour
hospital,hormone
library,quote
academic,sample
cafeteria,highball
hospital,hygienic
library,recall
academic,scale
cafeteria,highchair
hospital,immunity
library,refereed
academic,scheme
hospital,immunization
library,reference materials
cafeteria,homemade
hospital,infancy
library,reflect
academic,search
cafeteria,counter
hospital,kinesis
library,relevance
academic,section
cafeteria,creamer
hospital,kinesiology
library,research question
academic,selection
cafeteria,customer
hospital,kinetic
academic,sense
cafeteria,guest
hospital,laziness
library,save
academic,separation
cafeteria,customer service
hospital,lifestyle
academic,series
cafeteria,cutlery
hospital,living
library,text
academic,service
cafeteria,silverware
hospital,lose
cafeteria,cut off
library,tutorial
academic,sex
cafeteria,deep fried
hospital,lumbar
academic,protection
cafeteria,defrost
hospital,mental health
library,username
academic,provision
cafeteria,thaw
hospital,metabolic
library,video
cafeteria,delicious
hospital,moisture
library,wikipedia
academic,purpose
cafeteria,designated driver
hospital,muscle
academic,quality
cafeteria,dessert tray
hospital,muscular
library,almanac
academic,question
cafeteria,dirty dishes
hospital,nauseous
library,authentication
academic,range
cafeteria,discount
hospital,nemesis
library,decriptor
academic,rate
cafeteria,dishpit
hospital,nicotine
library,dial-up
cafeteria,apron
hospital,outbreak
library,dissertation
academic,reality
cafeteria,awful taste
hospital,ossification
library,document delivery
academic,reason
hospital,over weight
academic,reasoning
cafeteria,barstool
hospital,panacea
library,electronic book
academic,recognition
cafeteria,black coffee
hospital,panic
library,editor
academic,reduction
cafeteria,boil 
hospital,paraffin
library,homepage
cafeteria,book off
hospital,perspiration
library,HTML
academic,relation
cafeteria,booster seat
hospital,pessimism
library,Hyperlink
academic,relationship
cafeteria,booth
hospital,petrify
library,Hypertext
cafeteria,bench
hospital,physiotherapy
library,interlibrary loan
academic,report
cafeteria,booze
hospital,pilate
library,interpret
academic,representative
cafeteria,bottle opener
hospital,pregnancy
academic,reproduction
cafeteria,braed basket
hospital,prenatal
library,late fees
academic,requirement
cafeteria,breaded
hospital,postnatal
library,late fine
academic,research
cafeteria,burnt
hospital,cream
library,lend
academic,resistance
cafeteria,buspan
hospital,relax
library,library of congress classification system
academic,assume
cafeteria,busboy
hospital,go on diet
academic,constitutional
cafeteria,cash cash out
hospital,sleep early
library,log in
academic,context
cafeteria,cashier
hospital,abnormal
cafeteria,charge
hospital,abstinence
library,microfiche
academic,derived
cafeteria,check on
hospital,addictive 
cafeteria,clear
hospital,adulthood
library,off-campuss access
academic,financial
cafeteria,coffee maker
hospital,advocate
library,world wide web
cafeteria,coffee round
hospital,aerobics
library,thesaurus
academic,allocation
cafeteria,fried rice
hospital,affect
cafeteria,spaghet
hospital,AIDS
library,library web site
cafeteria,fork
hospital,ambulatory
academic,ethnic
cafeteria,till receipt
hospital,anemia
library,cross reference
academic,project
cafeteria,cup of coffee
library,keyword searching
cafeteria,lemonade
hospital,anorexiaanxiety
library,card catalog
academic,professional
cafeteria,milkshake
hospital,athlete
academic,acknowledge
cafeteria,cheese burger
hospital,first aid kit
library,bear access
academic,adjacent
cafeteria,slice of pizza
hospital,microscope
library,reference librarian
academic,conform
cafeteria,curry
hospital,crutch
library,reference collection
academic,consequent
cafeteria,samosa
hospital,walker
library,periodical indexes
academic,considerable
hospital,ambulance
academic,concurrent
cafeteria,bill
hospital,wheelchair
library,abstracts
academic,compute
cafeteria,cheese platter
hospital,cane
library,reference assistant
academic,compile 
cafeteria,course
hospital,scissors
library,reserve reading
academic,goal
cafeteria,eat out
hospital,scalpel
library,renewal
academic,study
academic,relate
academic,social
academic,history
academic,active
academic,inform
academic,important
academic,nature
academic,economy
academic,represent
cafeteria,bowl
library,apa style
academic,common
cafeteria,braised
hospital,oral rinse
library,archives
cafeteria,morning breakfast
hospital,cough rinse
library,article
academic,effective
cafeteria,brunch
hospital,antiseptic
library,asa style
academic,determine
cafeteria,butter
hospital,lotion
library,blue book
academic,language
cafeteria,candle
hospital,decongestsant spray
library,boolean operator
academic,refer
cafeteria,centerpiece
hospital,softgel
hospital,blood
library,catcard
academic,primary
hospital,ointment
library,center for teaching and learning
academic,general
academic,university
academic,perform
hospital,x-ray
academic,human
hospital,eye exam
academic,science
hospital,pressure measuring
academic,low
hospital,infusion
academic,both
hospital,surgeon
academic,design
hospital,paramedic
hospital,nurse
hospital,ent doctor
cafeteria,high-class
hospital,pharmacist
library,aaa style
academic,apply
cafeteria,pudding
hospital,consulting doctor
academic,observe
cafeteria,a la carte
hospital,attending doctor
library,acs style
cafeteria,a la mode
hospital,duty doctor
library,advanced search
academic,reduce
cafeteria,beef
hospital,family doctor
library,ama style
cafeteria,bistro
hospital,veterinarian
library,annotated bibliography
cafeteria,boiled
hospital,dentist
library,annual copyright license
academic,maintain
hospital,aspirin
library,chicago style
academic,contribute
cafeteria,cream food
hospital,caplet
cafeteria,credit card
hospital,capsule
library,consultation
hospital,blood bag
library,controlled vocabulary
academic,equal
cafeteria,deli
hospital,braces
library,council of science editors style
cafeteria,delicatessen
hospital,rubber gloves
library,course reserves
cafeteria,delicious food
library,cse-cbe style
academic,achieve
cafeteria,dine
library,ctl
academic,total
cafeteria,dish
library,davidson library worldcat
academic,employ
cafeteria,dishes
library,davissoniana room
academic,promote
cafeteria,sish water
cafeteria,dooie bag
library,dewey decimal classification
academic,appropriate
cafeteria,hot dog
library,durable url
academic,sustain
hospital,bandage
library,information literacy learning center
academic,approximate
cafeteria,mustard
hospital,check-up
academic,formal
cafeteria,napkin
library,interlibrary
academic,fundamental
cafeteria,pepper
library,in-text citation
academic,distinguish
hospital,fever
library,modern language association style
cafeteria,spill
hospital,snakebite
library,monograph
academic,ethical
cafeteria,tablecloth
library,moodle
academic,revise
cafeteria,tip
library,oclc number
academic,principal
hospital,high blood pressure
library,open access
academic,superior
cafeteria,toast
hospital,broken arm
library,oversize
cafeteria,tomato
library,parenthetical citation
cafeteria,tomatoes
hospital,diabetes
library,pawprint
academic,scenario
hospital,sore finger
library,peer research advisor
academic,consesus
cafeteria,whole grain bread
library,peer review
cafeteria,ketchup
hospital,glasses
library,guide
academic,overall
hospital,sunglasses
academic,connect
cafeteria,lettuce
hospital,dumbbells
academic,accurate
hospital,stretcher
library,illc
academic,mental
cafeteria,lunch box
hospital,surgical mask
library,illiad
cafeteria,meat
hospital,face mask
library,information desk assistant
academic,discipline
cafeteria,mug
library,information literacy
cafeteria,entree
hospital,syringe
library,resources guide
academic,explore
cafeteria,fruits
hospital,stethoscope
library,ebrary
academic,essential
cafeteria,platter
hospital,diagnosis
academic,philosophy
cafeteria,pop
hospital,dentists
library,records
academic,compete
cafeteria,roasted
library,lawfully made
academic,incorporate
cafeteria,roll
hospital,plaster
library,lc classification
cafeteria,saucer
library,library of congress classification
academic,theoretical
cafeteria,seafood
hospital,broken bone
academic,depress
cafeteria,seared
hospital,bruise
library,main library
academic,radical
cafeteria,server
library,informatics library
cafeteria,side order
hospital,chills
library,coed library
cafeteria,hot soup
hospital,backache
library,humanity library
cafeteria,special order
hospital,dizziness
cafeteria,starters
hospital,flu
library,microform
academic,intellectual
cafeteria,steak
hospital,stomachache
library,mla style
cafeteria,glass
library,ebsco ebook academic collection
academic,consistent
cafeteria,gourmand
library,e-journal
academic,regard
cafeteria,gourmet
library,endnoteereserve
academic,tool
cafeteria,grilled
academic,predict
cafeteria,head waiter
library,fines
academic,add
cafeteria,high tea
library,fishbowl
hospital,injury
library,folio
academic,assess
cafeteria,hot
library,footnote
academic,adopt
cafeteria,ice
library,full text
cafeteria,ice cubes
library,government document
cafeteria,iced
library,government information
academic,formula
cafeteria,rye bread
library,reviewed articles
academic,equation
cafeteria,pancakes
library,periodicle title list
academic,main
library,permalink
academic,probability
cafeteria,donut
library,persistent link
academic,autonomy
cafeteria,breadstick
library,full text resources guide
academic,spectrum
cafeteria,french bread
academic,entity
cafeteria,cherry
library,privacy policy
academic,classify
cafeteria,strawberry
library,purl
academic,net
cafeteria,mango
library,rare book room
academic,articulate
cafeteria,blueberry
library,racall
academic,forum
cafeteria,plum
library,ask a librarian
cafeteria,pineapple
academic,geography
cafeteria,lime
library,references
academic,correect
cafeteria,coconut
library,refworks
academic,subjective
cafeteria,peach
library,refworks guide
academic,sociology
cafeteria,mushroom
library,library worldcat
academic,moral
cafeteria,carrot
library,research guides
academic,matrix
cafeteria,cabbage
library,research help
academic,uniform
cafeteria,potato
library,librarian guide
academic,strike
cafeteria,sweet potato
library,research rescue
academic,map
cafeteria,green chil
library,reserves
academic,preliminary
cafeteria,onion
academic,axis 
cafeteria,pea
library,search strategy
hospital,patient
hospital,patients
hospital,drugs
academic,performance
hospital,drug
